id;news_for_role;title;tags;summary;description;link;published_dt;published_ts
0;booker;Ошибки в данных физлиц - недостоверные сведения, за которые штрафуют, подтвердил суд;;"Организация представила в инспекцию справки 2-НДФЛ. Налоговики обнаружили в них ошибки: не было ИНН налогоплательщиков, даты рождения указали как 01.01.1900. Организацию оштрафовали. Она обратилась в суд.
Арбитры поддержали контролеров:
- любые сведения в справках...";"Организация представила в инспекцию справки 2-НДФЛ. Налоговики обнаружили в них ошибки: не было ИНН налогоплательщиков, даты рождения указали как 01.01.1900. Организацию оштрафовали. Она обратилась в суд.
Арбитры поддержали контролеров:
- любые сведения в справках...";http://www.consultant.ru/law/review/208422377.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0
1;booker;Срок на возврат налоговой переплаты считают с даты подачи декларации, указала кассация;;Организация обратилась к налоговикам за возвратом НДС. Контролеры отказали, так как налогоплательщик подал заявление несвоевременно. Спор дошел до суда. Первая инстанция и апелляция поддержали организацию: налогоплательщик подал заявление в пределах 3-летнего...;Организация обратилась к налоговикам за возвратом НДС. Контролеры отказали, так как налогоплательщик подал заявление несвоевременно. Спор дошел до суда. Первая инстанция и апелляция поддержали организацию: налогоплательщик подал заявление в пределах 3-летнего...;http://www.consultant.ru/law/review/208422378.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0
2;booker;В Москве приняли допмеры поддержки семей мобилизованных;;"Мэр Москвы принял ряд мер соцподдержки семей граждан, которые попали под частичную мобилизацию. Это, например:
- единовременная матпомощь (п. 1.12 указа);
- организация профобучения и дополнительного профобразования супруги и детей трудоспособного возраста...";"Мэр Москвы принял ряд мер соцподдержки семей граждан, которые попали под частичную мобилизацию. Это, например:
- единовременная матпомощь (п. 1.12 указа);
- организация профобучения и дополнительного профобразования супруги и детей трудоспособного возраста...";http://www.consultant.ru/law/review/208422379.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0
3;booker;Суд поддержал работодателя, который согласовал перенос отдыха из-за болезни на удобные для себя даты;;"Работодатель не обязан переносить отпуск сотрудника из-за болезни на те даты, которые тот просит. Такой вывод сделали суды. Они учли, что организация не отказала в переносе отпуска, но определила для этого период, когда выходил заменяющий сотрудник.
Продлить...";"Работодатель не обязан переносить отпуск сотрудника из-за болезни на те даты, которые тот просит. Такой вывод сделали суды. Они учли, что организация не отказала в переносе отпуска, но определила для этого период, когда выходил заменяющий сотрудник.
Продлить...";http://www.consultant.ru/law/review/208422380.html#utm_campaign=rss_db&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:00:00+03:00;1665133200.0
4;booker;"Проект Приказа Минцифры России ""Об утверждении Порядка выдачи документа, подтверждающего отнесение предусмотренных договором услуг (работ) к разработке программно-аппаратных комплексов""";;"Проект Приказа Минцифры России ""Об утверждении Порядка выдачи документа, подтверждающего отнесение предусмотренных договором услуг (работ) к разработке программно-аппаратных комплексов""";"Проект Приказа Минцифры России ""Об утверждении Порядка выдачи документа, подтверждающего отнесение предусмотренных договором услуг (работ) к разработке программно-аппаратных комплексов""";http://www.consultant.ru/law/hotdocs/link/?id=77427#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 17:47:36+03:00;1665154056.0
5;booker;"Указание Банка России от 26.08.2022 N 6227-У ""О критериях, которым должны соответствовать микрофинансовые организации предпринимательского финансирования"" (Зарегистрировано в Минюсте России 28.09.2022 N 70268)";;"С 1 октября 2023 года вводятся критерии, которым должны соответствовать МФО, предоставляющие микрозаймы субъектам МСП и (или) организациям, образующим инфраструктуру поддержки субъектов МСП
Критерии определены в отношении количества заключенных договоров микрозайма...";"С 1 октября 2023 года вводятся критерии, которым должны соответствовать МФО, предоставляющие микрозаймы субъектам МСП и (или) организациям, образующим инфраструктуру поддержки субъектов МСП
Критерии определены в отношении количества заключенных договоров микрозайма...";http://www.consultant.ru/law/hotdocs/77426.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 15:45:14+03:00;1665146714.0
6;booker;"Постановление Правительства РФ от 06.10.2022 N 1769 ""О внесении изменений в некоторые акты Правительства Российской Федерации и признании утратившими силу некоторых актов Правительства Российской Федерации и отдельных положений некоторых актов Правительства Российской Федерации""";;"В Правилах дорожного движения закреплен порядок езды на электросамокатах, гироскутерах, моноколесах и других аналогичных устройствах
Установлено, в частности, что на средствах индивидуальной мобильности допускается перемещаться со скоростью не более 25 км/ч...";"В Правилах дорожного движения закреплен порядок езды на электросамокатах, гироскутерах, моноколесах и других аналогичных устройствах
Установлено, в частности, что на средствах индивидуальной мобильности допускается перемещаться со скоростью не более 25 км/ч...";http://www.consultant.ru/law/hotdocs/77425.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 15:20:07+03:00;1665145207.0
7;booker;"<Информация> Банка России от 07.10.2022 ""У инвесторов есть еще месяц на расконвертацию расписок и перевод российских ценных бумаг из-за рубежа""";;"Банк России: инвесторы смогут подать заявление на принудительную конвертацию депозитарных расписок в российские акции до 10 ноября 2022 года включительно
До указанной даты также продлевается возможность перевода отечественных ценных бумаг из иностранного депозитария...";"Банк России: инвесторы смогут подать заявление на принудительную конвертацию депозитарных расписок в российские акции до 10 ноября 2022 года включительно
До указанной даты также продлевается возможность перевода отечественных ценных бумаг из иностранного депозитария...";http://www.consultant.ru/law/hotdocs/77424.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:56:15+03:00;1665143775.0
8;booker;"Федеральный закон от 07.10.2022 N 390-ФЗ ""О внесении изменений в Федеральный закон ""О промышленной политике в Российской Федерации""";;"Установлены особенности формирования и реализации промышленной политики в сфере проектирования, строительства, ремонта и утилизации судов
Установлено, что формирование и реализация промышленной политики в сфере проектирования, строительства, ремонта, утилизации...";"Установлены особенности формирования и реализации промышленной политики в сфере проектирования, строительства, ремонта и утилизации судов
Установлено, что формирование и реализация промышленной политики в сфере проектирования, строительства, ремонта, утилизации...";http://www.consultant.ru/law/hotdocs/77423.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:06+03:00;1665142506.0
9;booker;"Федеральный закон от 07.10.2022 N 391-ФЗ ""О внесении изменений в статью 5 Федерального закона ""Об отходах производства и потребления""";;"Расширен перечень полномочий Российской Федерации в области обращения с отходами производства и потребления
Внесенными изменениями к полномочиям Российской Федерации отнесено в том числе утверждение порядка рассмотрения в досудебном порядке споров, возникающих...";"Расширен перечень полномочий Российской Федерации в области обращения с отходами производства и потребления
Внесенными изменениями к полномочиям Российской Федерации отнесено в том числе утверждение порядка рассмотрения в досудебном порядке споров, возникающих...";http://www.consultant.ru/law/hotdocs/77422.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:06+03:00;1665142506.0
10;booker;"Федеральный закон от 07.10.2022 N 392-ФЗ ""О внесении изменений в статьи 5 и 11 Федерального закона ""Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации""";;"С 1 марта 2023 года содержание животных в местах их продажи будет осуществляться в соответствии с требованиями, установленными Правительством РФ
Соответствующие изменения внесены в Федеральный закон ""Об ответственном обращении с животными и о внесении...";"С 1 марта 2023 года содержание животных в местах их продажи будет осуществляться в соответствии с требованиями, установленными Правительством РФ
Соответствующие изменения внесены в Федеральный закон ""Об ответственном обращении с животными и о внесении...";http://www.consultant.ru/law/hotdocs/77421.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:05+03:00;1665142505.0
11;booker;"Федеральный закон от 07.10.2022 N 393-ФЗ ""О внесении изменений в Федеральный закон ""О некоммерческих организациях""";;"Закреплено требование об обязательном предварительном согласовании крупной сделки автономной некоммерческой организации ее учредителями либо коллегиальным высшим органом управления
Крупной сделкой автономной некоммерческой организации признаются сделка или...";"Закреплено требование об обязательном предварительном согласовании крупной сделки автономной некоммерческой организации ее учредителями либо коллегиальным высшим органом управления
Крупной сделкой автономной некоммерческой организации признаются сделка или...";http://www.consultant.ru/law/hotdocs/77420.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:04+03:00;1665142504.0
12;booker;"Федеральный закон от 07.10.2022 N 394-ФЗ ""О внесении изменений в Федеральный закон ""О благотворительной деятельности и добровольчестве (волонтерстве)""";;"Расширены цели волонтерской деятельности и меры господдержки
В соответствии с принятым законом благотворительная и добровольческая (волонтерская) деятельность может осуществляться также в целях содействия медицинским организациям в оказании медицинской помощи...";"Расширены цели волонтерской деятельности и меры господдержки
В соответствии с принятым законом благотворительная и добровольческая (волонтерская) деятельность может осуществляться также в целях содействия медицинским организациям в оказании медицинской помощи...";http://www.consultant.ru/law/hotdocs/77419.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:04+03:00;1665142504.0
13;booker;"Федеральный закон от 07.10.2022 N 395-ФЗ ""О внесении изменений в Федеральный закон ""О ведомственной охране""";;"Уточнены организационно-правовые основы деятельности ведомственной охраны
Внесенными изменениями, в частности, корректируются основания создания ведомственной охраны, уточняются органы и организации, имеющие право на создание ведомственной охраны, а также...";"Уточнены организационно-правовые основы деятельности ведомственной охраны
Внесенными изменениями, в частности, корректируются основания создания ведомственной охраны, уточняются органы и организации, имеющие право на создание ведомственной охраны, а также...";http://www.consultant.ru/law/hotdocs/77418.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:03+03:00;1665142503.0
14;booker;"Федеральный закон от 07.10.2022 N 396-ФЗ ""О внесении изменений в статьи 3 и 13 Федерального закона ""Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации""";;"Требования по выгулу домашних животных больше не распространяются на собак-проводников
Соответствующие изменения внесены в Федеральный закон ""Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации"".
Согласно...";"Требования по выгулу домашних животных больше не распространяются на собак-проводников
Соответствующие изменения внесены в Федеральный закон ""Об ответственном обращении с животными и о внесении изменений в отдельные законодательные акты Российской Федерации"".
Согласно...";http://www.consultant.ru/law/hotdocs/77417.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:03+03:00;1665142503.0
15;booker;"Федеральный закон от 07.10.2022 N 397-ФЗ ""О внесении изменений в статью 4 Федерального закона ""О науке и государственной научно-технической политике"" и статью 11 Федерального закона ""Об образовании в Российской Федерации""";;"Расширены академические права ряда образовательных организаций: вузы ""Сколково"" наделены правом разрабатывать образовательные стандарты
Так, образовательные организации высшего образования, осуществляющие образовательную деятельность на территории...";"Расширены академические права ряда образовательных организаций: вузы ""Сколково"" наделены правом разрабатывать образовательные стандарты
Так, образовательные организации высшего образования, осуществляющие образовательную деятельность на территории...";http://www.consultant.ru/law/hotdocs/77416.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:02+03:00;1665142502.0
16;booker;"Федеральный закон от 07.10.2022 N 398-ФЗ ""О внесении изменений в Федеральный закон ""О сельскохозяйственной кооперации""";;"Установлена возможность принятия общим собранием членов сельскохозяйственного кооператива решений без проведения заседаний - заочным голосованием
Определено, что решения общего собрания кооператива по вопросам принятия устава кооператива в новой редакции...";"Установлена возможность принятия общим собранием членов сельскохозяйственного кооператива решений без проведения заседаний - заочным голосованием
Определено, что решения общего собрания кооператива по вопросам принятия устава кооператива в новой редакции...";http://www.consultant.ru/law/hotdocs/77415.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 14:35:02+03:00;1665142502.0
17;booker;"Федеральный закон от 07.10.2022 N 385-ФЗ ""О внесении изменений в Земельный кодекс Российской Федерации и признании утратившей силу части 7 статьи 34 Федерального закона ""О внесении изменений в Земельный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации""";;"Подписан закон о проведении в электронной форме аукционов на право заключения договоров купли-продажи или аренды земельных участков, находящихся в государственной собственности
Предусмотрено, что электронный аукцион проводится на электронной площадке ее оператором...";"Подписан закон о проведении в электронной форме аукционов на право заключения договоров купли-продажи или аренды земельных участков, находящихся в государственной собственности
Предусмотрено, что электронный аукцион проводится на электронной площадке ее оператором...";http://www.consultant.ru/law/hotdocs/77414.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:58:46+03:00;1665140326.0
18;booker;"Федеральный закон от 07.10.2022 N 386-ФЗ ""О внесении изменения в статью 1363 части четвертой Гражданского кодекса Российской Федерации""";;"Установлены основания признания недействительным продление срока действия исключительного права на изобретение, относящееся к такому продукту, как лекарственное средство, пестицид или агрохимикат, и действия удостоверяющего его дополнительного патента
Определено...";"Установлены основания признания недействительным продление срока действия исключительного права на изобретение, относящееся к такому продукту, как лекарственное средство, пестицид или агрохимикат, и действия удостоверяющего его дополнительного патента
Определено...";http://www.consultant.ru/law/hotdocs/77413.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:34:52+03:00;1665138892.0
19;booker;"Федеральный закон от 07.10.2022 N 387-ФЗ ""О внесении изменений в статью 52 Арбитражного процессуального кодекса Российской Федерации и статью 45 Гражданского процессуального кодекса Российской Федерации""";;"Принят закон, расширяющий полномочия прокурора
Закон наделяет прокуроров правом обратиться в арбитражный суд с исками о признании недействительными сделок, совершенных с нарушением законодательства о ПОД/ФТ, налогового, валютного и таможенного законодательства...";"Принят закон, расширяющий полномочия прокурора
Закон наделяет прокуроров правом обратиться в арбитражный суд с исками о признании недействительными сделок, совершенных с нарушением законодательства о ПОД/ФТ, налогового, валютного и таможенного законодательства...";http://www.consultant.ru/law/hotdocs/77412.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:30:40+03:00;1665138640.0
20;booker;"Федеральный закон от 07.10.2022 N 388-ФЗ ""О внесении изменений в Кодекс внутреннего водного транспорта Российской Федерации""";;"Закреплено право администрации бассейна внутренних водных путей ограничивать или запрещать движение судов в случае проведения культурно-массовых, официальных физкультурных и спортивных соревнований на внутренних водных путях
Указанное решение принимается в...";"Закреплено право администрации бассейна внутренних водных путей ограничивать или запрещать движение судов в случае проведения культурно-массовых, официальных физкультурных и спортивных соревнований на внутренних водных путях
Указанное решение принимается в...";http://www.consultant.ru/law/hotdocs/77411.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:29:07+03:00;1665138547.0
21;booker;"Федеральный закон от 07.10.2022 N 389-ФЗ ""О внесении изменений в Федеральный закон ""О порядке осуществления иностранных инвестиций в хозяйственные общества, имеющие стратегическое значение для обеспечения обороны страны и безопасности государства""";;"Подписан закон, направленный на усиление госконтроля за осуществлением иностранных инвестиций в сфере рыболовства
В соответствии с принятым законом не только добыча водных биоресурсов (изъятие водных биоресурсов из среды их обитания), но и осуществление иных...";"Подписан закон, направленный на усиление госконтроля за осуществлением иностранных инвестиций в сфере рыболовства
В соответствии с принятым законом не только добыча водных биоресурсов (изъятие водных биоресурсов из среды их обитания), но и осуществление иных...";http://www.consultant.ru/law/hotdocs/77410.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:26:44+03:00;1665138404.0
22;booker;"Федеральный закон от 07.10.2022 N 381-ФЗ ""О внесении изменений в отдельные законодательные акты Российской Федерации""";;"Срок подачи заявлений на принудительную конвертацию отечественных ценных бумаг иностранного эмитента в акции российского эмитента продлен до 10 ноября 2022 года
До внесения соответствующих поправок указанный срок истекал 11 октября 2022 года.
Также законом...";"Срок подачи заявлений на принудительную конвертацию отечественных ценных бумаг иностранного эмитента в акции российского эмитента продлен до 10 ноября 2022 года
До внесения соответствующих поправок указанный срок истекал 11 октября 2022 года.
Также законом...";http://www.consultant.ru/law/hotdocs/77409.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:21:10+03:00;1665138070.0
23;booker;"Федеральный закон от 07.10.2022 N 382-ФЗ ""О внесении изменений в Уголовно-процессуальный кодекс Российской Федерации""";;"Таможенные органы наделены полномочиями по производству дознания по уголовным делам о преступлениях, связанных с выводом капитала за рубеж
Речь идет о преступлениях, предусмотренных частью первой статьи 193 (""Уклонение от исполнения обязанностей по репатриации...";"Таможенные органы наделены полномочиями по производству дознания по уголовным делам о преступлениях, связанных с выводом капитала за рубеж
Речь идет о преступлениях, предусмотренных частью первой статьи 193 (""Уклонение от исполнения обязанностей по репатриации...";http://www.consultant.ru/law/hotdocs/77408.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:21:09+03:00;1665138069.0
24;booker;"Федеральный закон от 07.10.2022 N 383-ФЗ ""О внесении изменений в Уголовно-процессуальный кодекс Российской Федерации""";;"Установлены срок применения меры пресечения в виде залога и порядок ее продления
Определено, что залог в качестве меры пресечения применяется в отношении подозреваемого либо обвиняемого по решению суда на срок до двух месяцев. Срок применения данной меры пресечения...";"Установлены срок применения меры пресечения в виде залога и порядок ее продления
Определено, что залог в качестве меры пресечения применяется в отношении подозреваемого либо обвиняемого по решению суда на срок до двух месяцев. Срок применения данной меры пресечения...";http://www.consultant.ru/law/hotdocs/77407.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:18:01+03:00;1665137881.0
25;booker;"Федеральный закон от 07.10.2022 N 384-ФЗ ""О внесении изменений в статью 401.6 Уголовно-процессуального кодекса Российской Федерации""";;"Ограничен срок пересмотра решения суда о компенсации реабилитированному имущественного вреда
Пересмотр в кассации постановления суда о возмещении реабилитированному имущественного вреда по основаниям, влекущим ухудшение его положения, не допускается в срок...";"Ограничен срок пересмотра решения суда о компенсации реабилитированному имущественного вреда
Пересмотр в кассации постановления суда о возмещении реабилитированному имущественного вреда по основаниям, влекущим ухудшение его положения, не допускается в срок...";http://www.consultant.ru/law/hotdocs/77406.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 13:18:02+03:00;1665137882.0
26;booker;"Федеральный закон от 07.10.2022 N 376-ФЗ ""О внесении изменений в Трудовой кодекс Российской Федерации""";;"В ТК РФ внесены изменения, закрепляющие за мобилизованными гражданами право на сохранение рабочих мест
ТК РФ дополнен статьей 351.7, которой установлены особенности обеспечения трудовых прав работников, призванных на военную службу по мобилизации или поступивших...";"В ТК РФ внесены изменения, закрепляющие за мобилизованными гражданами право на сохранение рабочих мест
ТК РФ дополнен статьей 351.7, которой установлены особенности обеспечения трудовых прав работников, призванных на военную службу по мобилизации или поступивших...";http://www.consultant.ru/law/hotdocs/77398.html#utm_campaign=rss_hotdocs&utm_source=rss_reader&utm_medium=rss;2022-10-07 12:17:15+03:00;1665134235.0
